ID;pris;km;year;hk;kml;kmt;Groen ejerudgift;model navn;region;Koeb eller leasing;annonce;links;type
4420150;114800.0;278000.0;2011.0;140.0;19.2;9.9;4680.0;VW Touran 2,0 TDi 140 Highline DSG BMT 7prs 5d;Koebenhavn;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-140-highline-dsg-bmt-7prs-5d/4420150;TDi
4364722;229990.0;103000.0;2016.0;150.0;22.7;9.3;3020.0;VW Touran 2,0 TDi 150 Comfortline 7prs 5d;Syd- og Soenderjylland;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-150-comfortline-7prs-5d/4364722;TDi
4494482;299900.0;9000.0;2019.0;115.0;26.2;11.9;3260.0;VW Touran 1,6 TDi 115 Comfort Connect DSG 7p 5d;Oestjylland;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfort-connect-dsg-7p-5d/4494482;TDi
4344421;310000.0;74000.0;2016.0;110.0;22.7;11.9;3020.0;VW Touran 1,6 TDi 110 Comfortline DSG 7prs 5d;Koebenhavn;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-110-comfortline-dsg-7prs-5d/4344421;TDi
4275052;99800.0;342000.0;2010.0;140.0;20.8;9.9;3880.0;VW Touran 2,0 TDi 140 Highline BMT 5d;Syd- og Vestsjaelland;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-140-highline-bmt-5d/4275052;TDi
4293799;237900.0;58000.0;2016.0;150.0;17.5;8.9;1880.0;VW Touran 1,4 TSi 150 Comfortline 7prs 5d;Syd- og Soenderjylland;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-7prs-5d/4293799;TSi
4225268;249800.0;89000.0;2016.0;115.0;23.3;11.9;3520.0;VW Touran 1,6 TDi 115 Highline DSG 5d;Koebenhavn;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-highline-dsg-5d/4225268;TDi
4195975;87800.0;232000.0;2007.0;105.0;17.0;13.2;6380.0;VW Touran 1,9 TDi 105 Conceptline 7prs 5d;Syd- og Soenderjylland;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/19-tdi-105-conceptline-7prs-5d/4195975;TDi
3529336;169900.0;172000.0;2009.0;140.0;15.4;10.2;7220.0;VW Touran 2,0 TDi 140 United DSG 7prs 5d;Fyn;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-140-united-dsg-7prs-5d/3529336;TDi
3033174;134900.0;250000.0;2012.0;105.0;21.7;12.8;3880.0;VW Touran 1,6 TDi 105 Trendline BMT 5d;Oestjylland;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-105-trendline-bmt-5d/3033174;TDi
2848856;49900.0;400000.0;2005.0;115.0;13.4;11.9;3740.0;VW Touran 1,6 FSi Trendline 7prs 5d;Oestjylland;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/16-fsi-trendline-7prs-5d/2848856;FSi
2597907;186900.0;265000.0;2013.0;140.0;19.2;9.9;4680.0;VW Touran 2,0 TDi 140 Comfortline DSG BMT 7p 5d;Oestjylland;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-140-comfortline-dsg-bmt-7p-5d/2597907;TDi
2060553;69900.0;292000.0;2006.0;140.0;15.3;10.2;7220.0;VW Touran 2,0 TDi Goal DSG 5d;Oestjylland;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-goal-dsg-5d/2060553;TDi
1390146;111900.0;332000.0;2008.0;105.0;16.4;13.2;7380.0;VW Touran 1,9 TDi 105 Trendline DSG 5d;Oestjylland;Koeb;discount;www.bilbasen.dk/brugt/bil/vw/touran/19-tdi-105-trendline-dsg-5d/1390146;TDi
